time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4682.275256,402.2006231,MAX,min,
396,0,1,1,1,-4928, ,,,,
397,0,1,1,1,-4922, ,,,,
398,0,1,1,1,-4918, ,,,,
399,0,1,1,1,-4914, ,,,,
400,0,1,1,1,-4914, ,,,,
401,0,1,1,1,-4911, ,,,,
402,0,1,1,1,-4910, ,,,,
403,0,1,1,1,-4911, ,,,,
404,0,1,1,1,-4914, ,,,,
405,0,1,1,1,-4914, ,,,,
406,0,1,1,1,-4912, ,,,,
407,0,1,1,1,-4910, ,,,,
408,0,1,1,1,-4914, ,,,,
409,0,1,1,1,-4916, ,,,,
410,0,1,1,1,-4916, ,,,,
411,0,1,1,1,-4915, ,,,,
412,0,1,1,1,-4915, ,,,,
413,0,1,1,1,-4891, ,,,,
414,0,1,1,1,-4775, ,,,,
415,0,1,1,1,-4534, ,,,,
416,0,1,1,1,-4231, ,,,,
417,0,1,1,1,-3941, ,,,,
418,0,1,1,1,-3715, ,,,,
419,0,1,1,1,-3581, ,,,,
420,0,1,1,1,-3522, ,,,,
421,0,1,1,1,-3518, ,,,,
422,0,1,1,1,-3548, ,,,,
423,0,1,1,1,-3605, ,,,,
424,0,1,1,1,-3677, ,,,,
425,0,1,1,1,-3759, ,,,,
426,0,1,1,1,-3847, ,,,,
427,0,1,1,1,-3933, ,,,,
428,0,1,1,1,-4015, ,,,,
429,0,1,1,1,-4097, ,,,,
430,0,1,1,1,-4173, ,,,,
431,0,1,1,1,-4243, ,,,,
432,0,1,1,1,-4308, ,,,,
433,0,1,1,1,-4367, ,,,,
434,0,1,1,1,-4415, ,,,,
435,0,1,1,1,-4463, ,,,,
436,0,1,1,1,-4501, ,,,,
437,0,1,1,1,-4542, ,,,,
438,0,1,1,1,-4576, ,,,,
439,0,1,1,1,-4610, ,,,,
440,0,1,1,1,-4644, ,,,,
441,0,1,1,1,-4674, ,,,,
442,0,1,1,1,-4707, ,,,,
443,0,1,1,1,-4729, ,,,,
444,0,1,1,1,-4755, ,,,,
445,0,1,1,1,-4775, ,,,,
446,0,1,1,1,-4793, ,,,,
447,0,1,1,1,-4807, ,,,,
448,0,1,1,1,-4821, ,,,,
