time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4688.309419,1.334237443,,,,,,,,,,,,, 
346,0,1,1,1,-4690,,,,,,,,,,,,,,, 
347,0,1,1,1,-4688,,,,,,,,,,,,,,, 
348,0,1,1,1,-4689,,,,,,,,,,,,,,, 
349,0,1,1,1,-4690,,,,,,,,,,,,,,, 
350,0,1,1,1,-4686,,,,,,,,,,,,,,, 
351,0,1,1,1,-4687,,,,,,,,,,,,,,, 
352,0,1,1,1,-4687,,,,,,,,,,,,,,, 
353,0,1,1,1,-4691,,,,,,,,,,,,,,, 
354,0,1,1,1,-4690,,,,,,,,,,,,,,, 
355,0,1,1,1,-4687,,,,,,,,,,,,,,, 
356,0,1,1,1,-4688,,,,,,,,,,,,,,, 
357,0,1,1,1,-4687,,,,,,,,,,,,,,, 
358,0,1,1,1,-4687,,,,,,,,,,,,,,, 
359,0,1,1,1,-4689,,,,,,,,,,,,,,, 
360,0,1,1,1,-4688,,,,,,,,,,,,,,, 
361,0,1,1,1,-4687,,,,,,,,,,,,,,, 
362,0,1,1,1,-4688,,,,,,,,,,,,,,, 
363,0,1,1,1,-4691,,,,,,,,,,,,,,, 
364,0,1,1,1,-4687,,,,,,,,,,,,,,, 
365,0,1,1,1,-4689,,,,,,,,,,,,,,, 
366,0,1,1,1,-4688,,,,,,,,,,,,,,, 
367,0,1,1,1,-4688,,,,,,,,,,,,,,, 
368,0,1,1,1,-4688,,,,,,,,,,,,,,, 
369,0,1,1,1,-4689,,,,,,,,,,,,,,, 
370,0,1,1,1,-4689,,,,,,,,,,,,,,, 
371,0,1,1,1,-4689,,,,,,,,,,,,,,, 
372,0,1,1,1,-4690,,,,,,,,,,,,,,, 
373,0,1,1,1,-4689,,,,,,,,,,,,,,, 
374,0,1,1,1,-4688,,,,,,,,,,,,,,, 
375,0,1,1,1,-4687,,,,,,,,,,,,,,, 
376,0,1,1,1,-4688,,,,,,,,,,,,,,, 
377,0,1,1,1,-4688,,,,,,,,,,,,,,, 
378,0,1,1,1,-4688,,,,,,,,,,,,,,, 
379,0,1,1,1,-4687,,,,,,,,,,,,,,, 
380,0,1,1,1,-4689,,,,,,,,,,,,,,, 
381,0,1,1,1,-4690,,,,,,,,,,,,,,, 
382,0,1,1,1,-4689,,,,,,,,,,,,,,, 
383,0,1,1,1,-4688,,,,,,,,,,,,,,, 
384,0,1,1,1,-4688,,,,,,,,,,,,,,, 
385,0,1,1,1,-4688,,,,,,,,,,,,,,, 
386,0,1,1,1,-4688,,,,,,,,,,,,,,, 
387,0,1,1,1,-4688,,,,,,,,,,,,,,, 
388,0,1,1,1,-4687,,,,,,,,,,,,,,, 
389,0,1,1,1,-4689,,,,,,,,,,,,,,, 
390,0,1,1,1,-4689,,,,,,,,,,,,,,, 
391,0,1,1,1,-4688,,,,,,,,,,,,,,, 
392,0,1,1,1,-4686,,,,,,,,,,,,,,, 
393,0,1,1,1,-4690,,,,,,,,,,,,,,, 
394,0,1,1,1,-4689,,,,,,,,,,,,,,, 
395,0,1,1,1,-4688,,,,,,,,,,,,,,, 
396,0,1,1,1,-4689,,,,,,,,,,,,,,, 
397,0,1,1,1,-4688,,,,,,,,,,,,,,, 
398,0,1,1,1,-4689,,,,,,,,,,,,,,, 
399,0,1,1,1,-4687,,,,,,,,,,,,,,, 
400,0,1,1,1,-4689,,,,,,,,,,,,,,, 
401,0,1,1,1,-4690,,,,,,,,,,,,,,, 
402,0,1,1,1,-4690,,,,,,,,,,,,,,, 
403,0,1,1,1,-4688,,,,,,,,,,,,,,, 
404,0,1,1,1,-4688,,,,,,,,,,,,,,, 
405,0,1,1,1,-4689,,,,,,,,,,,,,,, 
406,0,1,1,1,-4685,,,,,,,,,,,,,,, 
407,0,1,1,1,-4689,,,,,,,,,,,,,,, 
408,0,1,1,1,-4688,,,,,,,,,,,,,,, 
409,0,1,1,1,-4690,,,,,,,,,,,,,,, 
410,0,1,1,1,-4687,,,,,,,,,,,,,,, 
411,0,1,1,1,-4688,,,,,,,,,,,,,,, 
412,0,1,1,1,-4689,,,,,,,,,,,,,,, 
413,0,1,1,1,-4690,,,,,,,,,,,,,,, 
414,0,1,1,1,-4687,,,,,,,,,,,,,,, 
415,0,1,1,1,-4686,,,,,,,,,,,,,,, 
416,0,1,1,1,-4687,,,,,,,,,,,,,,, 
417,0,1,1,1,-4688,,,,,,,,,,,,,,, 
418,0,1,1,1,-4688,,,,,,,,,,,,,,, 
419,0,1,1,1,-4688,,,,,,,,,,,,,,, 
420,0,1,1,1,-4688,,,,,,,,,,,,,,, 
421,0,1,1,1,-4689,,,,,,,,,,,,,,, 
422,0,1,1,1,-4691,,,,,,,,,,,,,,, 
423,0,1,1,1,-4691,,,,,,,,,,,,,,, 
424,0,1,1,1,-4689,,,,,,,,,,,,,,, 
425,0,1,1,1,-4689,,,,,,,,,,,,,,, 
426,0,1,1,1,-4686,,,,,,,,,,,,,,, 
427,0,1,1,1,-4689,,,,,,,,,,,,,,, 
428,0,1,1,1,-4686,,,,,,,,,,,,,,, 
429,0,1,1,1,-4688,,,,,,,,,,,,,,, 
430,0,1,1,1,-4688,,,,,,,,,,,,,,, 
431,0,1,1,1,-4689,,,,,,,,,,,,,,, 
432,0,1,1,1,-4689,,,,,,,,,,,,,,, 
433,0,1,1,1,-4687,,,,,,,,,,,,,,, 
434,0,1,1,1,-4686,,,,,,,,,,,,,,, 
435,0,1,1,1,-4689,,,,,,,,,,,,,,, 
436,0,1,1,1,-4689,,,,,,,,,,,,,,, 
437,0,1,1,1,-4689,,,,,,,,,,,,,,, 
438,0,1,1,1,-4688,,,,,,,,,,,,,,, 
439,0,1,1,1,-4691,,,,,,,,,,,,,,, 
440,0,1,1,1,-4688,,,,,,,,,,,,,,, 
441,0,1,1,1,-4687,,,,,,,,,,,,,,, 
442,0,1,1,1,-4690,,,,,,,,,,,,,,, 
443,0,1,1,1,-4688,,,,,,,,,,,,,,, 
444,0,1,1,1,-4687,,,,,,,,,,,,,,, 
445,0,1,1,1,-4688,,,,,,,,,,,,,,, 
446,0,1,1,1,-4687,,,,,,,,,,,,,,, 
447,0,1,1,1,-4688,,,,,,,,,,,,,,, 
448,0,1,1,1,-4689,,,,,,,,,,,,,,, 
449,0,1,1,1,-4687,,,,,,,,,,,,,,, 
450,0,1,1,1,-4686,,,,,,,,,,,,,,, 
451,0,1,1,1,-4688,,,,,,,,,,,,,,, 
452,0,1,1,1,-4688,,,,,,,,,,,,,,, 
453,0,1,1,1,-4688,,,,,,,,,,,,,,, 
454,0,1,1,1,-4687,,,,,,,,,,,,,,, 
455,0,1,1,1,-4690,,,,,,,,,,,,,,, 
